Step: 294 Station Capacity Decreased: {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 1, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 1, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 2, 'cs_27': 0, 'cs_3': 0, 'cs_4': 0, 'cs_5': 0, 'cs_6': 2, 'cs_7': 1, 'cs_8': 0, 'cs_9': 1}
Step: 294 Station Capacity Increased : {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 1, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 2, 'cs_27': 0, 'cs_3': 0, 'cs_4': 0, 'cs_5': 0, 'cs_6': 2, 'cs_7': 1, 'cs_8': 0, 'cs_9': 1}
Step: 298 Station Capacity Decreased: {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 0, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 2, 'cs_27': 0, 'cs_3': 0, 'cs_4': 0, 'cs_5': 0, 'cs_6': 2, 'cs_7': 1, 'cs_8': 0, 'cs_9': 1}
Step: 298 Station Capacity Increased : {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 1, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 2, 'cs_27': 0, 'cs_3': 0, 'cs_4': 0, 'cs_5': 0, 'cs_6': 2, 'cs_7': 1, 'cs_8': 0, 'cs_9': 1}
Step: 302 Station Capacity Decreased: {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 1, 'cs_16': 0, 'cs_17': 0, 'cs_18': 0, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 2, 'cs_27': 0, 'cs_3': 0, 'cs_4': 0, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 302 Station Capacity Increased : {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 1, 'cs_16': 0, 'cs_17': 0, 'cs_18': 1, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 2, 'cs_27': 0, 'cs_3': 0, 'cs_4': 0, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 304 Station Capacity Decreased: {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 1, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 1, 'cs_16': 0, 'cs_17': 0, 'cs_18': 1, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 2, 'cs_27': 0, 'cs_3': 0, 'cs_4': 0, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 304 Station Capacity Increased : {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 1, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 1, 'cs_16': 0, 'cs_17': 0, 'cs_18': 1, 'cs_19': 0, 'cs_2': 1, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 2, 'cs_27': 0, 'cs_3': 0, 'cs_4': 0, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 306 Station Capacity Decreased: {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 1, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 1, 'cs_16': 0, 'cs_17': 0, 'cs_18': 1, 'cs_19': 0, 'cs_2': 1, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 1, 'cs_27': 0, 'cs_3': 0, 'cs_4': 0, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 306 Station Capacity Increased : {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 1, 'cs_16': 0, 'cs_17': 0, 'cs_18': 1, 'cs_19': 0, 'cs_2': 1, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 1, 'cs_27': 0, 'cs_3': 0, 'cs_4': 0, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
