Step,Station_ID,Capacity
2,cs_0,0
2,cs_1,0
2,cs_10,0
2,cs_11,0
2,cs_12,0
2,cs_13,0
2,cs_14,0
2,cs_15,0
2,cs_16,0
2,cs_17,0
2,cs_18,0
2,cs_19,0
2,cs_2,0
2,cs_20,0
2,cs_21,0
2,cs_22,0
2,cs_23,0
2,cs_24,0
2,cs_25,0
2,cs_26,0
2,cs_27,0
2,cs_3,0
2,cs_4,0
2,cs_5,0
2,cs_6,0
2,cs_7,0
2,cs_8,0
2,cs_9,0
4,cs_0,0
4,cs_1,0
4,cs_10,0
4,cs_11,0
4,cs_12,0
4,cs_13,0
4,cs_14,0
4,cs_15,0
4,cs_16,0
4,cs_17,0
4,cs_18,0
4,cs_19,0
4,cs_2,0
4,cs_20,0
4,cs_21,0
4,cs_22,0
4,cs_23,0
4,cs_24,0
4,cs_25,0
4,cs_26,0
4,cs_27,0
4,cs_3,0
4,cs_4,0
4,cs_5,0
4,cs_6,0
4,cs_7,0
4,cs_8,0
4,cs_9,0
6,cs_0,0
6,cs_1,0
6,cs_10,0
6,cs_11,0
6,cs_12,0
6,cs_13,0
6,cs_14,0
6,cs_15,0
6,cs_16,0
6,cs_17,0
6,cs_18,0
6,cs_19,0
6,cs_2,0
6,cs_20,0
6,cs_21,0
6,cs_22,0
6,cs_23,0
6,cs_24,0
6,cs_25,0
6,cs_26,0
6,cs_27,0
6,cs_3,0
6,cs_4,0
6,cs_5,0
6,cs_6,0
6,cs_7,0
6,cs_8,0
6,cs_9,0
8,cs_0,0
8,cs_1,0
8,cs_10,0
8,cs_11,0
8,cs_12,0
8,cs_13,0
8,cs_14,0
8,cs_15,0
8,cs_16,0
8,cs_17,0
8,cs_18,0
8,cs_19,0
8,cs_2,0
8,cs_20,0
8,cs_21,0
8,cs_22,0
8,cs_23,0
8,cs_24,0
8,cs_25,0
8,cs_26,0
8,cs_27,0
8,cs_3,0
8,cs_4,0
8,cs_5,0
8,cs_6,0
8,cs_7,0
8,cs_8,0
8,cs_9,0
10,cs_0,0
10,cs_1,0
10,cs_10,0
10,cs_11,0
10,cs_12,0
10,cs_13,0
10,cs_14,0
10,cs_15,0
10,cs_16,0
10,cs_17,0
10,cs_18,0
10,cs_19,0
10,cs_2,0
10,cs_20,0
10,cs_21,0
10,cs_22,0
10,cs_23,0
10,cs_24,0
10,cs_25,0
10,cs_26,0
10,cs_27,0
10,cs_3,0
